"","treatment_class","variable","N","value","sd","se","ci"
"374","WT_1.5","Dyn.F",19,248.809469052632,94.7630700146506,21.7401392512385,45.6743377108362
"375","WT_1.5","Dyn.IB",19,0,0,0,0
"376","WT_1.5","Dyn.IFRdrop",19,72.8564689473684,38.2292854435844,8.77039957538709,18.4259257696514
"377","WT_1.5","Dyn.pfr",19,173.787894573684,32.3621601895463,7.42438872952144,15.5980619171688
"378","WT_1.5","Dyn.pfr1",19,131.929915157895,19.8458431498108,4.55294867049391,9.56539020992679
"379","WT_1.5","Dyn.pfr3",19,134.155505421053,30.4665787477544,6.98951252194133,14.6844209078873
"380","WT_1.5","Dyn.RDR",19,20.6842105263158,4.46035165005017,1.02327484711703,2.14982067953245
"381","WT_1.5","Dyn.slp",19,1459.36772044737,613.347066924295,140.711467475794,295.623823334555
"382","WT_1.5","Dyn.slp1",19,142.075372421053,33.0725632132978,7.58736636055925,15.9404652142824
"383","WT_1.5","Dyn.slp3",19,213.728918473684,54.5771210394009,12.5208502757966,26.3053303069792
"384","WT_1.5","Dyn.spkNum",19,13.1184210526316,2.63439907370394,0.604372596801717,1.26973970913844
"385","WT_1.5","Dyn.spkNum1",19,60.6315789473684,13.0222481687465,2.98750862027755,6.2765227057512
"386","WT_1.5","Dyn.spkNum3",19,39.4210526315789,11.5437130049876,2.64830939063038,5.56389156815269
"387","WT_1.5","Stat.afr",19,73.8448338578947,17.2926901961551,3.9672152119472,8.33480987715939
"388","WT_1.5","Stat.HzEnd",19,49.1468294605263,25.938176953311,5.95062590100834,12.5018011086576
"389","WT_1.5","Stat.HzSTD",19,27.2329828905263,9.6893559419663,2.22289070415929,4.67012007341517
"390","WT_1.5","Stat.LSpkF",19,116.256410506842,37.9711718080613,8.71118424627157,18.3015189795925
"391","WT_1.5","Stat.LSpkT",19,985.249315789474,25.9292149065974,5.94856986648456,12.4974815404111
"392","WT_1.5","Stat.mSfr",19,65.2648542984211,22.8084405541991,5.23261512818467,10.9933164509019
"393","WT_1.5","Stat.slp",19,-58.4528830131579,24.069482535065,5.52191799966661,11.6011192299033
"394","WT_1.5","Stat.spkNum",19,64.3859649121053,19.5885180397354,4.49391424152264,9.44136347696801
"395","WT_1.5","Thr.F",19,17.5873985963158,6.94172126073229,1.59254007735578,3.34580254848392
"396","WT_1.5","Thr.F1",19,11.9573151578947,9.78169481344715,2.24407469412485,4.71462598483406
"397","WT_1.5","Thr.F3",19,31.0587917368421,11.7695205375626,2.70011319142958,5.67272731501996
"398","WT_1.5","Thr.L",19,0.506373122789474,0.345219313263257,0.0791987420985814,0.166390382834275
